cv_algo	cv_param1	cv_param2	cv_val1	cv_val2	algo	level	mq_cnt	nc_cnt	sample_id	sample_type	best_cluster	best_match	majority_rule
hdbscan	min_cluster_size	min_samples	100.0	25	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	denovo	strain	5	5	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	denovo	exact	5	5	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	hdbscan	strain	15	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	hdbscan	exact	15	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	denovo	strain	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	40	denovo	exact	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	50	hdbscan	strain	15	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	50	hdbscan	exact	15	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	50	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
